                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.3087,                 2.3601,                 1.6499,                 1.4707,                0.41041,                 0.4631,                0.42368,                0.22625,                0.48547,                0.41429,                0.39724,                0.21064,                  1.774,                 3.5745,                 2.3943,                 2.0101,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.3335,                 2.3707,                 1.6716,                 1.4885,                0.41224,                0.47619,                0.40562,                0.24314,                0.43517,                0.45196,                0.40547,                0.22765,                 1.7013,                 3.4572,                 2.5339,                 1.9579,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.3344,                  2.468,                 1.6793,                 1.4644,                0.37186,                0.49405,                0.35398,                0.17522,                0.34397,                0.41429,                0.32254,                0.17017,                 1.7283,                 3.5869,                 2.4394,                 1.9964,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.2816,                 2.4193,                 1.6467,                 1.4498,                0.42409,                0.49582,                0.42433,                0.21836,                0.44632,                0.42262,                0.38602,                0.19682,                 1.8197,                 4.0851,                 2.3709,                 2.0734,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.2301,                  2.243,                  1.538,                 1.4048,                 0.6119,                0.50449,                 0.4873,                0.27692,                0.60749,                0.50963,                0.47057,                0.26233,                 1.7406,                 3.4123,                 2.3064,                 1.9872,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.2389,                 2.2077,                 1.5336,                    1.4,                0.51684,                0.46378,                0.44653,                0.24407,                0.54497,                 0.4795,                0.46234,                0.24351,                 1.7051,                 3.5241,                 2.3436,                 1.9732,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.1603,                 2.2083,                 1.4454,                  1.385,                 0.5209,                0.47738,                0.41555,                 0.2263,                0.53462,                0.48929,                0.41674,                0.22359,                 1.7177,                  3.609,                 2.3794,                 1.9493,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.1325,                 2.1345,                 1.4563,                 1.3421,                0.73974,                0.38736,                0.48436,                0.27378,                0.69571,                0.36304,                0.43469,                0.26383,                 1.6336,                 3.1547,                 2.0335,                 1.8819,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.2048,                 2.1057,                 1.4879,                 1.4043,                0.70479,                0.44048,                0.51015,                0.28829,                0.69464,                0.43452,                0.48445,                0.29663,                 1.6745,                 3.1558,                 2.1329,                 1.9252,              0.0006438,              0.0006438,              0.0006438
                     33,                 1.1209,                  2.054,                 1.3952,                 1.3467,                0.68539,                0.51222,                0.50841,                0.28456,                0.66393,                0.50031,                0.48423,                0.28992,                 1.7012,                 3.1216,                 2.1591,                 1.9421,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.1262,                 1.9548,                 1.3576,                 1.3161,                0.73149,                0.41071,                0.52995,                0.29249,                0.57603,                0.45238,                0.48624,                0.28126,                 1.6553,                 3.1097,                 2.0339,                 1.9115,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.1848,                 2.1428,                 1.4438,                 1.3781,                0.66726,                0.42857,                0.48562,                0.27069,                0.63921,                0.40357,                0.42229,                0.24892,                   1.66,                 3.0825,                 2.0133,                 1.9159,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.1297,                 2.0529,                 1.3519,                 1.3222,                0.73659,                0.46429,                0.49465,                0.28336,                0.74702,                0.47024,                0.48924,                0.27745,                 1.6453,                  3.085,                 2.0457,                 1.8836,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.1187,                 2.0937,                 1.3403,                 1.3225,                0.65196,                0.52332,                0.52028,                0.29113,                0.65228,                0.52175,                0.50307,                0.27449,                 1.6197,                 2.9562,                 2.0149,                 1.8323,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.0814,                   1.98,                 1.2803,                 1.2945,                0.70436,                0.47143,                0.54242,                0.30046,                0.69128,                0.46548,                0.52184,                0.29424,                 1.7018,                 3.0357,                 1.9521,                 1.8676,             0.00044576,             0.00044576,             0.00044576
                     39,                   1.12,                 2.0373,                 1.2459,                 1.3253,                0.69855,                 0.4883,                 0.5378,                0.30004,                0.68844,                0.48144,                0.52095,                0.29163,                 1.5532,                 3.1395,                 1.9283,                 1.7864,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.0154,                 1.9235,                  1.223,                 1.2613,                 0.6153,                0.47038,                0.50638,                0.29903,                0.64876,                0.48524,                0.52233,                0.29701,                 1.6098,                 3.0755,                 1.9823,                 1.8499,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.0425,                 1.9211,                 1.4626,                 1.3881,                0.61005,                0.49928,                0.50779,                0.28217,                0.60798,                0.50302,                0.51627,                0.28042,                 1.7011,                 3.0783,                 2.0146,                 1.9097,             0.00034674,             0.00034674,             0.00034674
                     42,                0.95727,                 1.7622,                 1.3019,                 1.3034,                0.55804,                0.47046,                0.43404,                0.24973,                0.56648,                0.47606,                0.43913,                0.24771,                 1.6664,                  3.238,                 2.0407,                 1.9522,             0.00031373,             0.00031373,             0.00031373
                     43,                 0.9805,                 1.7158,                 1.2698,                 1.3585,                0.66959,                0.42744,                0.48782,                0.28678,                0.70164,                0.44093,                0.48728,                0.27792,                 1.5814,                 3.3203,                 2.0926,                 1.8906,             0.00028072,             0.00028072,             0.00028072
                     44,                0.96952,                 1.7178,                 1.2136,                 1.3017,                0.65786,                0.46429,                0.50701,                0.27845,                0.69038,                0.48214,                0.50893,                0.28552,                 1.6071,                 3.2264,                 2.1396,                 1.9132,             0.00024772,             0.00024772,             0.00024772
                     45,                0.95578,                 1.7387,                 1.1549,                 1.2922,                0.59154,                0.53084,                0.56693,                0.29211,                0.60204,                    0.5,                0.55522,                0.29703,                 1.6479,                 3.1046,                 2.1025,                 1.8978,             0.00021471,             0.00021471,             0.00021471
                     46,                0.89999,                 1.6521,                 1.0747,                 1.2752,                0.79415,                 0.4597,                0.57931,                0.29808,                0.82831,                0.47024,                 0.5706,                0.31347,                  1.583,                 3.1324,                 1.9947,                 1.8384,              0.0001817,              0.0001817,              0.0001817
                     47,                 0.8519,                 1.5897,                 1.0672,                  1.225,                0.69019,                0.47078,                0.56254,                 0.3036,                0.69019,                0.47078,                0.54434,                0.31081,                 1.5474,                 3.1595,                 2.0095,                 1.8225,              0.0001487,              0.0001487,              0.0001487
                     48,                 0.8687,                 1.5748,                 1.0363,                 1.2342,                0.71605,                0.45563,                0.57199,                0.31131,                0.71605,                0.45563,                0.54595,                0.30544,                 1.5516,                 3.1126,                 2.0453,                 1.8122,             0.00011569,             0.00011569,             0.00011569
                     49,                 0.8607,                 1.6207,                 1.0374,                 1.2523,                0.73381,                0.48637,                0.58512,                0.32705,                0.73381,                0.48637,                0.55655,                0.31757,                 1.5584,                 3.0885,                 2.0191,                 1.8269,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.85471,                 1.5803,                 1.0082,                 1.2474,                0.69796,                0.50833,                0.57493,                0.32236,                0.73899,                0.51429,                0.56033,                0.32594,                 1.5592,                 3.0779,                 1.9937,                  1.832,             4.9677e-05,             4.9677e-05,             4.9677e-05
